ah	aa
guide	garhay
shake	gariir
spring	gariirad
justice	garnaq
judge	garnaqe
grenade	garnaydh
bit	garooc
airport	garoonka dayuuradaha
mediation	garqayb
settle	garqaybi
accuse	garran
mediate	garransii
judge	garsoor
justice	garsoor
fair	garsoore ah
plaintiff	garwate
pickaxe	garweyn
arbitrator	garyaqaan
hair	gas
scoliosis	gasar
equipment	gash
lover	gashaan
debt	gashi
nutrition	gashin
island	gasiirad
pimp	gawaad
cars	gawaadhi
automobiles	gawaari
pound	gawi
conclusion	gebaggebo
forehead	gebi
echo	gebikayeer
character	ged
anger	gedaad
change	geddis
exchange	geddisad
changed	geddisan
traders	geddisley
exchange	geddiso
circle	gedef
cover	gedef
botany	geedo-aqoon
botanist	geedyaqaane
camel	geel
centipede	geelcaacis
chameleon	geeldhugeeye
camelman	geeljir
camelman	geeljire
camelowner	geelle
Geelee	Geelle
camelmen	geelley
dugong	geelmaanyo
mare	geenyo
garage	geeresh
death	geeri
die	geeriyood
death	geeryood
die	geeryoon
horn	gees
wail	geesaas
hero	geesi
encourage	geesiggeli
bravery	geesinnimo
heroine	geesiyad
cornerkick	geeskalaad
sciatica	geestaan
sideways	gees ... u
edge	geftin
airport	gegida dayuuradaha
clearing	gego
enter	gel
entry	gelid
inserting	gelin
convince	gelinsii
insertion	gelis
corn	gelley
entry	gelliin
stool	gembar
stool	genbar
fighting	genbi
Geni	Geni
help	gergaar
giraffe	geri
shaking	geriir
equipment	gesh
couscous	geshiisho
nutrition	geshin
buffalo	gesi
food	gesiin
transporting	geyn
dirt	geyngeyn
anger	geyr
transport	geyso
skin	gibil
anger	gidaad
wall	gidaar
whole	giddi
omnivor	giddiquute
day	gih
taut	giigsan
tighten	giiji
coward	giiryaale
cowardice	giiryaalennimo
song	giis
shake	gilgil
revolutionary	gilgishe
improvement	gingin
Guinea	Gini
resistance	girifgirif
Grenada	Giriinaada
land	giyi
decide	go'aami
decision	go'aan
liberation	gobannimaddoonis
freedom	gobannimo
drop	gobo'
regionalism	gobolaysi
drip	gobo'lee
regional	goboleed
remembrance	gocad
remember	goco
bend	god
womanizer	godadle
curved	godan
axe	godimmo
anthole	godka quraanyada
vindictiveness	godobsasho
isolation	go'doomayn
isolation	go'doon
den	godshiir
beehive	godshinni
latrine	godxaar
carpeting	goglad
meeting	gogol
introduction	gogoldhig
famished	golmoon
detachment	go'niin
circle	goobaab
enclosure	goobaabin
result	goobdhac
harm	goobdumis
enclose	goobee
compass	goobeye
witness	goobjoog
cloth	good
threaten	gooddi
underskirt	googgarad
swerve	googooy
neigh	gooh
log	gool
goalkeeper	goolhaye
goalkick	goolkalaad
hungry	goommoon
migraine	goonjab
skirt	goonno
time	goor
watch	gooreys
clock	goorhayso
gorilla	gooriilla
again	goor kale
when	goorma
when	goormaa
never	goornaba
immediately	goortiiba
flavored	goosaaran
abscess	goosato
session	goosh
vulture	gorgor
bargain	gorgori
bargain	gorgoro
gorilla	goriilla
nosebleed	goror
part	gow
molar	gows
protrusion	gowti
linen	go'yaal
burn	gub
afterbirth	gube
arson	gubid
cheese	gubun
circumcision	gudaal
circumcised	gudan
appropriateness	gudboonaan
darken	gudcuri
executive	guddoomiye
chairman	guddoonshe
inside	gude
axe	gudin
circumcision	gudmo
inside	gudo
red	guduudan
lynx	guduudane
plug	guf
plugged	gufeysan
thunder	gugac
thunder	guguc
thunder	guguc
anger	guhaad
punch	gujee
submarine	gujis
poke	gujis
punch	gujo
button	guluus
destroy	gumaad
colonizing	gumeysad
imperialism	gumeysi
neocolonialism	gumeysi cusub
brainwashing	gumeysi maskaxeed
colonialism	gumeysinimo
decolonization	gumeysitir
administration	gun
lift	gundhi
bottom	gundho
bonus	gunno
upsidedown	gunrogan
knot	gunud
mutter	gunuunuc
grumble	gunuus
waffle	guraabbaas
gathering	gurad
drum	gurbaan
collect	gurbi
children	gurbood
house	guri
museum	guriga hiddaha
housekeeper	gurihays
housewife	gurijoogto
bentness	gurrac
bent	gurracan
lefthanded	gurran
lefthandedness	gurranaan
fodder	guruf
mumble	guruuructan
growl	gurxan
chatter	guryan
penis	gus
disaster	gusoore
afterbirth	guube
murmur	guudaan
behavior	guuhaad
victory	guul
frighten	guul
Victor	Guuleed
dwarf	guun
wealth	guunyo
marriage	guur
remarriage	guur kale
marry	guurso
remarry	guurso markale
Gush	Guush
noise	guux
dwarf	guuyo
blunt	guxuuman
bluntness	guxuun
may	ha
yes	haa
grab	haabo
hawk	haadka-adag
yes	haah
but	ha ahaatee
yes	haaheeyo
migrate	haajir
good	haaka
responsibility	haal
craving	haalaati
throat	haan
difficulty	haantaawilif
hug	haanyo
hug	haanyood
scar	haar
blame	haaraan
lance	haash
wave	haati
intention	haayid
migration	haayir
hug	hab
mislead	habaabi
curse	habaar
curse	habaar
cursed	habaaran
dust	habaas
flabby	habacsan
retain	habal
cover	habar
dugong	habarey-maanyo
plan	habayso
right	habban
correctness	habbanaan
suitable	habboon
Habon	Habboon
suitability	habboonaan
disorder	habdarro
system	habdhis
order	habee
midnight	habeembar
night	habeen
overnight	habeendhax
night	habeennimo
intelligence	habi
strategy	habka dagaalka
girls	hablo
protocol	habmaamuus
orderly	habsan
hug	habsii
hug	habsiin
collapse	habso
kill	had
discouragement	hadaadun
babytalk	hadaaq
failure	hadaf
talk	hadal
loquacity	hadaltiro
boredom	hadariman
so	haddaa
now	haddaa
immediately	haddatan
soon	haddeer
threaten	haddid
threat	haddiddaad
if	haddii
shade	hadh
shady	hadh leh
present	hadiyad
always	had iyo goor
talking	hadlid
when	hadma
lid	hado
always	had walba
gobble	haf
drowning	hafad
breathlessness	hafto
straightness	hagaag
dimness	hagabsi
argument	hagag
stuttering	haghag
stutter	haghaglee
pause	hakad
pausing	hakasho
pause	haki
pause	hako
matter	hal
one	hal
destroy	halaag
destruction	halaag
annihilated	halaagan
shine	halaalac
grill	halaammacoodi
song	halaanhal
yawn	halaaqood
greed	halacnimo
firmness	hal-adkaan
here	halakan
reptile	halaq
champion	halaqdile
artery	halbowle
throw	halgaad
struggle	halgamid
promptness	halhaleel
soon	hal haleel
here	halka
there	halkaa
here	halkaan
here	halkan
where	halkee
neglect	halladaadi
agreement	hallayeelo
ruined	hallaysan
destruction	hallig
annihilate	hallig
mislaid	hallowsan
forget	halmaan
forgotten	halmaansan
hello	haloo
large	haloodi
singe	halwi
yawn	hamaanso
inflamed	hambalaalaqsan
congratulate	hambalyee
congratulations	hambalyo
night	hameen
worry	hammi
worried	hammisan
breakfast	hamuuntir
ambition	han
accusation	hanaayo
dolphin	hanbaboro
congratulate	hanbalyee
congratulations	hanbalyo
start	handad
bier	handuul
threaten	hanfadi
start	hanfaf
fright	hanfariir
scold	hangaggurree
scolding	hangaggurro
millipede	hangaraarac
centipede	hangaraare
scorpion	hangaralle
threaten	hanjab
threat	hanjabo
order	hannaansho
thunder	hanqar
vague	hantaatac
property	hanti
capitalism	hantibursasho
invest	hantigeli
capitalism	hantiggoosad
capitalists	hantigoosato
capitalist	hantigooste
financial	hantiyeed
guidance	hanuun
counsel	hanuuni
orientation	hanuunin
welladvised	hanuunsan
pride	hanweyni
hunger	haqab
shade	har
breathlessness	haraaryo
kick	haraati
kick	haraati
grasshopper	haraati-geelle
kicking	haraatiyid
skin	harag
pyramid	haram
cheetah	haramcas
weed	haramee
shaded	haraysan
canter	hardaf
edge	hareer
surroundings	hareero
injure	hargaamee
trouble	hargaamo
placenta	hargo
lunch	harimo
contamination	harmin
lake	haro
tailor	harqaanle
thirst	harraad
thirsty	harraadan
thirsty	harraadsan
thirstiness	harraadsanaan
scorpion	harraan
kick	harraati
trouble	harreef
sorghum	haruur
Hassan	Hasan
but	hase ahaatee
but	hase yeeshee
threatening	hasid
shove	hataaqee
ditch	hataq
imposition	hawaan
dream	hawaawi
dream	hawaawi
attempt	hawadi
preservation	hawal
trachea	hawamareen
forest	hawd
women	haween
woman	haweeney
Haweya	Haweeya
neglect	hawir
work	hawl
funeral	hawl
busy	hawlaysan
retirement	hawlgab
unemployed	hawlla'
duty	hawlqaran
easy	hawlyar
meteorology	hawo-aqoon
airless	hawola'
enthusiasm	hawood
desire	hawood
sentence	hawraar
hold	hay
help	hayaay
cover	hayaayad
agency	hay'ad
blame	haydaarto
hydrogen	haydarojiin
yes	haye
but	hayeeshee
train	hayimi
cardamom	hayl
brand	haylaamayn
adherent	hayste
tame	hebdi
tameness	hebednimo
yes	heeh
loyal	heellan
loyalty	heellanaan
obedient	heelloon
beauty	heemaal
scraps	heemaar
agreement	heemasho
stage	heer
fence	heeraar
wounded	heeran
temperature	heerkul
thermometer	heerkulbeeg
song	hees
singer	heesaa
abundance	heeshi
limp	heeti
hectare	hektar
helicopter	helikobtar
obtainable	helloon
availability	helloonaan
forgetfulness	helmaamid
forget	helmaan
forgotten	helmaansan
butt	herdi
agreement	heshiis
reconciliation	heshiisiin
agency	hey'ad
cardamom	heyl
Hibaq	Hibaaq
drip	hibitiq
drip	hibitiq
Hibo	Hibo
gift	hidaaya
longing	hiddiwaale
expectation	hididdiilo
giving	hidin
hydrogen	hidrojin
regret	hifasho
repent	hifo
hiccough	higgo
accuse	hiif
manipulate	hiig
grudge	hiijo
mother	hiindo
panting	hiinraag
Hirad	Hiirad
trouble	hiirtaayo
Hegira	Hijra
overloaded	hilan
accumulation	hilasho
meat	hilib
uvula	hilibdalqe
butcher	hilible
beef	hilib lo'
road	hilin
lightning	hillaac
forgotten	hilmaansan
nostalgia	hilow
twilight	himhimmow
aim	himilo
demoralization	himmajab
jealousy	hinaas
jealousy	hinaaso
bitterness	hinaayo
sneeze	hindhis
sneeze	hindhiso
Indian	Hindi
plan	hindis
India	Hindiya
fright	hinfiriir
hiccough	hingo
hiccough	hingood
forest	hinni
sobs	hiqhiq
sob	hiqhiqlee
sob	hiqlee
pant	hiraahir
waves	hirar
wavelength	hirbaac
clash	hirdan
applied	hirgashan
apply	hirgeli
forest	hirrig
slander	hitee
slander	hito
sense	hiyi
longing	hiyiwaale
dolphin	hobbobboro
deceive	hod
shirking	hodaddaabo
Hodan	Hodan
richness	hodantooyo
richness	hodontooyo
demonstration	hogatus
illustrate	hogatus
quarry	hogdhagax
knockknees	hogfo
leading	hoggaamin
halt	hogo
pigeontoe	hogof
ouch	hoh
try	hol
flame	holac
burn	holac
try	holli
trying	holliin
take	hoo
Here	hoo
actor	hoobal
actor	hoobol
luck	hoodo
misfortune	hoog
dolphin	hoombaro
horn	hoon
rain	hoor
shade	hoos
deceive	hoosaasi
bias	hoosaasin
defect	hoosdaloolo
below	hooseeya
denominator	hooseeye
undergarment	hoosgashi
robbery	hoosh
cloudshadow	hoosiis
subordinate	hoosjooge
downwards	hoos ... u
demotion	hoos-u-dhigid
home	hooy
take	hooy
homecoming	hooyad
mother	hooyo
motherhood	hooyonnimo
first	horaad
front	horay
present	hordhig
already	horeyba
leader	horfiiq
resistance	horistaagid
lead	horjoog
preposition	horjooge
oppose	horjoogso
leader	horkac
guide	horkace
leader	hormuud
beginning	horraan
first	horreeya
commander	horseed
lead	horseed
confront	hortag
forwards	hor ... u
progress	horukac
development	horumar
development	horumarin
improve	horummari
advanced	horummarsan
progress	horusocod
progressiveness	horusocodnimo
leader	horyaal
leadership	horyaalnimo
hotel	hoteel
clothes	hu
weapons	hub
exactness	hubaal
certainty	hubanti
armed	hubaysan
uncertainty	hubiwaa
artillery	hubka culus
investigation	hubsasho
verifying	hubsiino
hernia	hud
hotel	hudheel
cuckoo	hud-hud
cleanliness	hufnaan
attack	hujuum
attack	hujuun
cleft	hul
smoulder	hulaaq
cracked	hulan
cobble	huluuq
cobbled	huluuqan
blister	humbuluuluq
wound	hummaaji
mend	humo
rounded	hunbulan
patchwork	hunbuqo
bend	hundud
emptiness	hungo
trachea	hunguricad
greedy	hunguriweyn
murmur	hunnuhunnu
vomit	hunqaac
vomit	hunqaaco
steam	hunri
selfsacrifice	huraal
expendable	huraan
asleep	hurda
playfighting	hurdan
asleep	hurdeysan
sleep	hurdo
infect	hurgumi
infection	hurgumo
infection	hurgun
combustion	hurid
kindled	hursan
canoe	huuri
stuffy	huursan
me	i
orifice	ib
Satan	Ibliis
Abraham	Ibraahim
kettle	ibriiq
ruin	ibtilee
disaster	ibtilo
announcement	iclaan
drills	icraab
belief	ictiqaad
recognize	ictiraaf
recognition	ictiraaf
broadcast	idaacad
broadcast	idaaco
incenseburner	idan
permit	idan
administration	iddaarad
all	idil
Idil	Idil
ideology	idiloojiyad
completion	idlaad
completion	idlaansho
finish	idlaw
finish	idlayso
complete	idlee
permitted	idman
ideology	idoloojiyo
hydrogen	idrojin
phenomenon	ifafaale
enlighten	ifi
illumination	ifiso
daylight	ifmaalmeed
enlightened	iftiinsan
England	Iglan
discover	igtishaaf
discovery	igtishaaf
despise	ihaanee
contempt	ihaano
sellable	iibgal
sell	iibi
sale	iibin
buying	iibis
seller	iibiye
purchase	iibsi
holiday	iid
seasoned	iidaaman
advertisement	iidheh
tilted	iillan
chief	iimaan
hurt	iimee
damage	iin
Iran	Iiraan
Iranian	Iiraani
acceptance	ijaabo
rented	ijaaran
rent	ijaaro
permission	ijaaso
invent	ikhtiraac
invention	ikhtiraac
God	Ilaah
devotedness	ilaahcaabud
Godhead	Ilaahnimo
guard	ilaal
guard	ilaali
protection	ilaalis
dispute	ilaaq
shameless	il-adag
bravery	il adayg
shamelessness	il-adkaansho
curtain	ila-xir
stalk	ilbaadso
observe	il buuxso
miss	ilduuf
shame	ilfashaq
eyesocket	ilgoon
eyeball	ilgurux
toothache	ilig-xanuun
horizon	ilikuwareertay
wink	iljebi
smile	ilkacaddee
teethe	ilkayso
teeth	ilko
horizon	ilkuwareerto
curse	illaaco
forget	illaaw
but	illayn
but	illayse
tears	illin
forget	illow
womb	ilmaggaleen
glare	ilmarooji
womb	ilmasideen
weep	ilmee
tear	ilmo
beauty	ilwaad
horizon	ilwareerto
dazzle	ilxaax
hardship	ilxumo
arrival	imaad
arrival	imaansho
arrival	imaatin
empire	imberadooriyad
imperialism	imberiyaali
imperialism	imberiyaaliyad
imperialism	imbiryaaliyad
now	immika
arrive	imow
examination	imtixaan
that	in
son	ina
shameless	indha-adag
shamelessness	indha-adayg
blindness	indhabbeel
jaundice	indhacaseeye
sharpsighted	indhacurdoon
blindfold	indhadduub
blindfold	indhadduub
blindfolded	indhadduuban
Indadek	Indhadeeq
eyeglasses	indhaggashi
blindfold	indha ka xir
thong	indhal
blind	indhala'
blindness	indhala'aan
veiled	indhashareeran
dazzlement	indhawiriq
intellectual	indheergarad
eyes	indho
inspection	indho-indhays
India	Indiya
flu	infiluwensa
flu	infuluwenso
England	Inglan
grain	iniin
engineer	injineer
engineer	injinyeer
lice	injir
flea	injirbooddo
curse	inkaar
curse	inkaar
cursed	inkaaran
although	in kasta oo
although	inkastoo
we	innaga
insurrection	inqilaab
humanity	insaaniyad
before	inta
also	intaa
everything	intaa oo dhan
usually	inta badan
where	intee
resource	intifaac
election	intikhaab
examination	intixaan
proposal	iqtiraax
economy	iqtisaad
wariness	irdho
plow	irfi
door	irid
door	irrid
food	irsaaq
recklessness	irtidnimo
he	is
he	isa
match	is aaddan
Isaac	Isaaq
he	isaga
acquaintanceship	is-aqoon
dangling	isasuran
expand	is ballaadhi
expansionism	isballaadhin
comparison	isbarbardhig
change	isbeddel
hospital	isbitaal
infirmary	isbitaalyare
sport	isboorti
surrender	is caalin
resignation	iscasilaad
exchange	is dhaafi
decrease	isdhimid
deficit	isdhin
suicide	isdil
change	is doori
brag	is faani
sponge	isfanji
divorce	isfur
divorce	is fur
communicate	is gaadhsii
communicate	is gaarsii
communications	isgaarsiin
comparison	isgarabdhig
solidarity	isgarabsi
bend	isgod
reduction	isgurid
opportunists	ishaafalato
indication	ishaaro
Isaiah	Ishacyaah
socialist	ishtiraaki
socialism	ishtiraakiyad
name	isim
name	isin
parade	isjir
just	iska
cooperation	iskaashad
cooperation	iskaashi
defend	iska dhici
excavator	iskafatoor
sense	is ka garo
confrontation	iskahorimaad
opposition	iskahorjeed
readymade	is ka samaysan
appear	iska tus
autobiography	iskawarramid
selfhelp	iskawaxuqabso
pretense	iskayeelyeel
escort	iskoor
together	isku
match	isku aad cayaar
coordination	isku-agaasimid
meet	isku arag
knapsack	iskubaano
continuation	iskubbixis
mixing	is ku darid
addition	iskuddar
coordinator	iskudduwe
mixture	iskudhaf
mix	isku dhaf
compound	iskudhis
multiplication	iskudhufasho
exploitation	iskudulnoolaan
selfsufficient	isku filan
selfsufficiency	iskufilnaansho
mixture	iskujir
unite	is ku kab
exploitation	iskukornoolaasho
homonym	iskumagac
sameness	iskummid
cross	iskutallaab
turning	iskuwareegsi
affines	iskuxidid
linkage	iskuxiriir
mother	islaan
chieftain	islaaw
improve	islaaxi
selfimportant	islaweyn
arrogance	islaweynaan
arrogance	islaweyni
vexation	islayaab
abase	is liid
friction	islis
slogan	isloogan
Ishmail	Ismaaciil
autonomy	ismaamul
recklessness	ismiidaamis
scabies	isnidaamis
Isnina	Isniino
contagion	isqaadsiin
contagious	isqaadsiis
join	is qabadsii
fight	is qabso
register	is qor
autotroph	isquudiye
Israel	Israa'iil
elimination	isreebid
stadium	istaadiyo
stop	is taag
value	istaahil
deserve	istaahil
Istahil	Istaahil
worthwhile	istaahila
statistics	istaatistiko
cross	istallaab
strategy	istaraatiijiyad
strategy	istaraatijiyo
comfortable	istareexsan
sterling	istarliin
Istarlin	Istarliin
strontium	istarontiyam
steak	isteeg
stencil	isteensal
station	isteeshin
use	isticmaal
user	isticmaale
colonialism	isticmaar
effort	istiil
eraser	istikad
resignation	istiqaalo
independence	istiqlaal
rag	istiraasho
showoff	istustus
studio	istuudiyo
coordinator	isudduwe
coordination	isuduwid
compare	isu eeg
mediator	isugeeye
organize	isugu lugadduw
gathering	isu imaad
route	isumar
camouflage	isuqaris
division	isuqaybin
proportion	isuqiyaas
reunite	isu wac
convert	isweydaari
conversion	isweydaarin
favor	isxaan
selfrule	isxukun
pretense	isyeelyeel
feign	is yeelyeel
strength	itaal
debility	itaaldarro
Italy	Itaaliya
debility	itaalxumo
agreement	itifaaq
unity	itixaad
Ethiopia	Itoobiya
respect	ixtiraam
respect	ixtiraan
she	iya
she	iyada
they	iyaga
and	iyo
firewood	jaabo
type	jaad
educate	jaahilbixi
ignorance	jaahilnimo
disorient	jaahwareeri
disoriented	jaahwareersan
dictator	jaa'ir
comedian	jaajaale
spy	jaajuus
spying	jaajuusnimo
jacket	jaakad
comradeship	jaalnimo
Jama	Jaamac
university	jaamacad
plan	jaangoo
footstep	jaanqaad
patched	jaansaaran
neighbor	jaar
neighbor	jaaraan
argue	jaarri
argument	jaarri
spy	jaasuus
spy	jaasuus
spying	jaasuusnimo
rejection	jaaxid
break	jab
break	jabniin
firewood	jabo
gonorrhea	jabti
gonorrhea	jabto
disgrace	jac
love	jacayl
electrified	jacaysan
disorganization	jacburni
embarrassment	jaciir
likeable	jacsan
crumpled	jactadan
chop	jadh
timetable	jadwal
demon	jafaliille
beaten	jafan
rough	jafjaf
stubborn	jaguug
obstinacy	jaguugnimo
Jihad	jahaad
disorientation	jahawareer
disorient	jahawareeri
directed	jahaysan
ignorance	jahli
direction	jaho
fragment	jajab
fragmentation	jajabnaan
force	jajuub
constraint	jajuub
attack	jalaalaqee
attack	jalaalaqo
kettle	jalammad
sparkle	jalanqe
covered	jallaadan
incline	jalleeci
sweetness	jamaad
Jamad	Jamaad
Jamal	Jamaal
group	jamac
desire	jamasho
Friday	Jamce
Jamaica	Jameyka
republic	jamhuuriyad
Jamila	Jamiilo
addition	jamlo
desire	jamo
general	janan
crookedness	janjeersi
suck	jaq
nurse	jaqsii
newspapers	jaraa'id
tame	jarabbar
chopped	jaran
staircase	jaranjaro
tremble	jarcee
trembling	jarco
garden	jardiino
tremble	jaree
newspaper	jariido
crime	jariimad
granule	jariir
Germany	Jarmal
expectation	jarraysimo
expect	jarree
expectation	jarreero
islands	jasaa'ir
Algeria	Jasaa'ir
ingrate	jasaar
ingratitude	jasaarnimo
island	jasiirad
only	jaw
oh	jaw
knee	jaw
answer	jawaab
answer	jawaab
Jawahir	Jawaahir
gem	jawhar
gem	jawharad
atmosphere	jawi
noise	jawjaw
lament	jawlee
tyrannize	jawr
tyranny	jawr
tyrant	jawrfaleen
nutmeg	jaws
lankiness	jaynnimo
defeat	jebin
python	jebis
python	jebiso
breaker	jebshe
vertebra	jebsin
love	jeceyl
affection	jeclaan
pocket	jeeb
torn	jeeban
whip	jeedal
fright	jeefaaf
check	jeeg
arc	jeegaan
haircut	jeegaxiir
nape	jeego
prison	jeel
pneumonia	jeeniwareen
hippopotamus	jeer
when	jeerma
germ	jeermi
antiseptic	jeermireeb
disinfect	jeermitir
disinfectant	jeermitire
turn	jeeso
tear	jeex
valley	jeex
torn	jeexan
crevasse	jeexdin
gymnastics	jeneestiko
general	jeneraal
search	jeri
newspaper	jeriida
search	jeris
groan	jibaad
groan	jibaad
roof	jibaal
exponential	jibbaaran
disgrace	jiciiree
ecstatic	jidbaysan
trance	jidbo
wrong	jiddaran
allow	jidee
body	jidh
axe	jidib
gullet	jidiin
hesitation	jigo
confused	jihawareersan
direct	jihee
jeep	jiib
pulled	jiidan
halter	jiide
mouse	jiidh
lynx	jiifaa
edge	jiin
squeezing	jiiqo
neighbor	jiiraan
neighborliness	jiiraannimo
cramp	jiirgo'
pity	jiirnax
counterargument	jikaar
quarrel	jikaartan
kitchen	jiko
actor	jilaa
plug	jilay
trance	jilbo
actor	jile
knee	jilib
binding	jilid
fishing	jillaab
cover	jillad
Jimale	Jimcaale
organization	jimciyad
loose	jimcoon
looseness	jimcoonaan
mercy	jimic
yearning	jimiimic
compassion	jimirric
addition	jimlad
arm	jin
ejaculate	jinaab
gymnastics	jinaastiko
armlet	jinjin
kind	jinsi
nationality	jinsiyad
body	jir
existent	jiraal
containing	jiraan
keeper	jire
trunk	jirid
existing	jirid
argue	jiriibban
quarrel	jiriibban
molecule	jiriir
gooseflesh	jiriirico
squeak	jiririq
squeak	jiririqlee
existence	jiritaan
back	jirjir
chameleon	jirjirroole
compassion	jirnax
existence	jirniin
burden	jirrab
ill	jirran
trunk	jirrid
create	jirriinsii
shrill	jirriq
cricket	jirriqaa
illness	jirro
reward	jisad
ingratitude	jisaddarro
test	jitaabi
enclose	jitee
whoopingcough	jix
compassion	jixinjix
geology	jiyoloji
jewel	johorad
geometry	jomiteri
mattress	joodari
thick	joof
geophysics	joofiisig
jug	joog
plug	joogajooge
presence	joogid
staying	joogitaan
stop	joogsi
ceasefire	joojinta dabka
pause	joojis
brake	joojiye
airbrake	joojiye neefeed
geology	jooloojiya
journal	joornaal
jewel	jowhar
tyranny	jowr
tyrant	jowrfaleen
nutmeg	jows
bump	jug
bustard	jugley
force	jujuub
wrong	julul
Friday	Jumce
addition	jumlad
south	junuub
swallow	juq
geography	juqraafi
swallow	juqsii
insult	jurxee
abuse	jurxo
spear	juube
leprosy	juudaan
sack	juuni
murmur	juuqjuuq
juice	juus
abstention	ka aammus
urine	kaadi
urinate	kaadi
hematuria	kaadidhiig
bladder	kaadihays
diabetes	kaadimmacaan
urethra	kaadimmareen
diabetes	kaadisokorow
win	ka adkow
impatient	kaadsanla'
urination	kaadshid
postponement	kaadsiinyo
atheist	kaafir
Kafia	Kaafiya
camphor	kaafuur
ray	kaah
Kaha	Kaaha
radioactivity	kaahfal
fortuneteller	kaahin
khaki	kaaki
come	kaalay
assist	kaali
supporter	kaaliye
help	kaalmee
assistance	kaalmo
contribution	kaalo
calcium	kaalsiyam
whole	kaamil
type	kaan
rudder	kaanad
lobster	kaanbe
sudden	kaar
carbohydrate	kaarbohaydareyt
carbon	kaarbon
chart	kaarto
cartography	kaartogaraafiyo
that	kaas
assistance	kaashi
Catholic	Kaatoolig
fingerring	kaatun
beat	kaawi
quarry	kaawo
hide	kaay
turn	kaaye
turn	kaayeysi
shoe	kab
trader	kabadhe
stooge	kaballeef
guitar	kaban
lackey	kabaqaad
dresser	kabar
robbery	kabasiib
shoemaker	kabatole
excavation	kabax
relapse	kabbax
sip	kabbayso
plaster	kabbis
sip	kabbo
coat	kabboot
output	kabixin
patchwork	kabkab
hop	kable
patching	kabniin
shoes	kabo
swelling	kabrar
lackey	kabsid
capsule	kabsool
spurt	kabtin
numbness	kabuubyo
tree	kabxan
excavated	kabxan
antirevolutionary	kacaandiid
anger	ka careysii
gallop	kacdin
riser	kace
uprising	kacitan
agitated	kacsan
agitation	kacsanaan
impatience	kadaalli
crouch	kadankood
aggravate	ka dar
wrong	ka dawdaran
after	kaddib
tapestry	kaddiifad
happen	ka dhac
discount	kadhimid
later	ka dib
surprise	kadiso
trot	kadlee
differ	ka duwanow
responsibility	kafaalo
duty	kafaaro
escape	ka fako
finish	ka faraxalo
joke	kaftan
humorous	kaftan ah
banterer	kaftanle
joker	kaftanlow
fullness	kafuufo
overcome	ka gacansarree
kill	kaga haadi
resentment	kahasho
satisfied	ka hirqan
ago	kahor
ago	ka hor
prevention	ka hortag
joke	kajan
teaser	kajanlow
cacao	kakaaw
pestle	kal
halve	kala bar
remove	kalabax
separate	kala baxsan
tear	kala farriiq
diverse	kala geddisan
messy	kala hambalaalaqsan
various	kala kaan
variant	kalamid
different	kala mid
detach	kalaqaad
split	kala qaybsanaan
hierarchy	kalasarrayn
separate	kala sooc
separated	kalasoocan
segregation	kalasoocid
ladle	kalax
discriminate	kalaxigso
pincers	kalbad
other	kale
like	kaleeto
deviate	ka leexo
affection	kalgacal
dictator	kaligitashade
heartfelt	kal iyo laab
help	kalkaal
medic	kalkaaliye caafimaad
imposition	kallif
compelled	kallifan
fishermen	kalluumaysato
fish	kalluumayso
fisherman	kalluumayste
fisherman	kalluunsade
fondness	kalnugeyl
compassionate	kalnugul
confidence	kalsami
confident	kalsan
confidence	kalsoonaan
confidence	kalsooni
shift	kaltan
suspend	ka lul
collarbone	kalxan
last	kama dambeys
guitar	kaman
lacking	ka maran
Cambodia	Kamboodiya
Cameroon	Kameruun
this	kan
Canada	Kanada
kill	kanbal
kangaroo	kanguuro
pill	kaniini
church	kaniisad
sphere	kankoon
round	kankoonsan
cannon	kanooni
treasure	kansi
canteen	kantiin
shelter	ka okori
confiscation	kaqaadid
owe	ka qab
participation	kaqaybgal
participant	ka qaybgale
steam	kar
ability	karaan
fatness	karaar
feast	karan
quarantine	karantiin
downpour	karar
karate	karatey
defend	ka raw
defeat	ka ray
whip	karbaash
lash	karbaash
crepe	kareeb
prevent	ka reeb
cook	kari
ability	karis
rush	karkabadee
capability	karniimo
silo	karoor
carrot	karooto
collarbone	karrays
ability	karriimo
ability	karriin
cooked	karsan
cooking	karsi
ability	karti
inability	kartidarro
inability	kartixumo
vanquish	ka saa'idcalee
withdrawal	kasaarid
achievement	kasab
slowness	kasdarro
repent	ka shallaay
opening	kashif
porcupine	kashiito
improvement	kaskaasbax
improve	kaskaasbax
boil	kasoobbax
oppose	ka soo hor jeed
slow	kasxun
bedbug	kataan
catalog	kataloogo
tapestry	katiifad
wiped	ka tiran
evade	ka waabo
butcher	kawaanle
better	ka wanaagsan
swerve	ka wanjaaci
report	kawarramid
kill	kaw ka sii
dryness	kawrax
driver	kaxeeye
suppose	ka xisaabi
surprise	ka yaabi
younger	ka yar
shame	ka yaxyaxi
store	kaydi
storage	kaydin
saving	kaydsi
afforestation	kaymayn
deforestation	kayngooyn
rainbow	kaynroobaad
plastered	kebbisan
surprise	kedi
trigger	keeb
bring	keen
Kennadeed	Keenadiid
bringing	keenis
Kenya	Keenya
pincers	kelbed
autocrat	keligitaliye
individually	keli keli
solitude	kelinnimo
dictatorship	kelitashi
alone	keliya
kidney	kelli
brave	kelya-adag
bravery	kelya-adayg
bravery	keni-adayg
treasure	kensi
